Length	Shift	Scores	Diffs	Reads	Selected
20	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
21	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
22	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
23	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
24	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
25	-;-;-	0;0;0	0;0;0	76;50;82	0;0;0
26	-;-;-	0;0;0	0;0;0	113;121;116	0;0;0
27	-;-;-	0;0;0	0;0;0	239;156;107	0;0;0
28	-;-;-	0;0;0	0;0;0	698;435;576	0;0;0
29	0;1;-1	0.84;0.533;0.803	7099;1101;5085	6030;1991;4099	1;1;1
30	0;-2;-1	0.823;0.696;0.884	18579;5832;17412	16947;6067;12396	1;1;1
31	0;-2;-1	0.822;0.866;0.89	19007;15685;31572	17528;12239;22185	1;1;1
32	-3;-2;-1	0.69;0.822;0.845	3215;14150;7865	3389;12723;6283	1;1;1
33	-;-2;-	0;0.79;0	0;1491;0	707;1551;228	0;1;0
34	-;-;-	0;0;0	0;0;0	38;12;37	0;0;0
35	-;-;-	0;0;0	0;0;0	0;6;2	0;0;0
36	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
37	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
38	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
39	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
40	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
41	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
42	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
43	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
44	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
45	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
46	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
47	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
48	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
49	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
50	-;-;-	0;0;0	0;0;0	0;0;0	0;0;0
